Alexnet,93.69,852.89,61.10,233,714,259.728896
Convnext_base,10.90,110.08,88.59,337,15365,382.608384
Convnext_large,4.95,58.00,197.77,754,34377,840.795136
Convnext_small,18.48,164.09,50.22,191,8691,224.201216
Convnext_tiny,31.99,295.54,28.59,109,4460,137.662976
Densenet121,35.85,106.86,7.98,30,2850,52.157952
Densenet161,15.11,72.98,28.68,109,7757,141.673472
Densenet169,24.16,74.28,14.15,53,3379,77.428224
Densenet201,20.21,63.90,20.01,76,4316,100.86144
Efficientnet_b0,78.04,210.45,5.29,20,394,40.964608
Efficientnet_b1,56.06,147.72,7.79,29,582,51.102208
Efficientnet_b2,54.55,147.25,9.11,34,672,57.321984
Efficientnet_b3,41.69,131.74,12.23,46,980,75.701248
Efficientnet_b4,18.81,74.22,19.34,73,1527,106.391552
Efficientnet_b5,17.67,68.94,30.39,115,2389,149.824
Efficientnet_b6,12.72,60.08,43.04,164,3402,205.21472
Efficientnet_b7,8.68,48.79,66.35,253,5226,302.847488
Efficientnet_v2_l,6.15,39.73,118.52,452,12276,503.628288
Efficientnet_v2_m,15.41,67.92,54.14,206,5387,239.443456
Efficientnet_v2_s,31.75,89.62,21.46,81,2865,103.341056
Googlenet,50.40,238.04,13.00,49,1501,68.460544
Inception_v3,30.02,149.61,27.16,103,2843,126.51776
Maxvit_t,15.04,67.24,30.92,117,5404,169.44128
Mnasnet0_5,154.94,354.03,2.22,8,107,21.248
Mnasnet0_75,127.82,356.15,3.17,12,220,27.625984
Mnasnet1_0,108.11,318.29,4.38,16,319,33.116672
Mnasnet1_3,87.91,326.78,6.28,23,533,44.67968
Mobilenet_v2,102.12,315.69,3.50,13,307,33.79968
Mobilenet_v3_large,111.15,268.30,5.48,20,221,38.461952
Mobilenet_v3_small,204.36,322.50,2.54,9,58,21.725696
Regnet_x_16gf,12.84,142.00,54.28,207,15966,266.405376
Regnet_x_1_6gf,63.85,209.68,9.19,35,1610,55.927808
Regnet_x_32gf,5.42,76.44,107.81,411,31772,492.25216
Regnet_x_3_2gf,35.63,142.18,15.30,58,3187,87.52896
Regnet_x_400mf,89.20,176.33,5.50,20,416,36.63104
Regnet_x_800mf,81.16,258.38,7.26,27,804,48.84992
Regnet_x_8gf,19.54,152.88,39.57,150,8009,184.994304
Regnet_y_128gf,1.11,20.86,644.81,2459,127608,2671.020032
Regnet_y_16gf,8.44,113.02,83.59,318,15940,388.092928
Regnet_y_1_6gf,45.45,93.19,11.20,42,1622,61.902848
Regnet_y_32gf,4.37,71.29,145.05,553,32317,637.564416
Regnet_y_3_2gf,35.71,129.12,19.44,74,3190,99.185664
Regnet_y_400mf,90.35,159.65,4.34,16,406,34.644992
Regnet_y_800mf,78.53,175.07,6.43,24,840,44.11648
Regnet_y_8gf,17.92,130.60,39.38,150,8497,201.264128
Resnet101,17.50,133.43,44.55,169,7817,200.259072
Resnet152,13.39,94.34,60.19,229,11536,262.781952
Resnet18,76.61,645.66,11.69,44,1816,66.15808
Resnet34,45.06,355.69,21.80,83,3667,106.97472
Resnet50,31.75,267.03,25.56,97,4100,124.317696
Resnext101_32x8d,9.73,113.41,88.79,338,16445,390.340096
Resnext101_64x4d,10.42,122.10,83.46,318,15491,364.031488
Resnext50_32x4d,29.82,270.85,25.03,95,4244,123.649536
Shufflenet_v2_x0_5,193.21,263.14,1.37,5,41,17.396736
Shufflenet_v2_x1_0,122.98,245.29,2.28,8,146,21.561344
Shufflenet_v2_x1_5,111.80,245.35,3.50,13,298,26.570752
Shufflenet_v2_x2_0,81.68,242.92,7.39,28,586,42.90048
Squeezenet1_0,100.24,706.37,1.25,4,818,22.669312
Squeezenet1_1,155.08,691.85,1.24,4,349,20.173824
Swin_b,9.20,70.71,87.77,334,15441,387.004416
Swin_s,14.98,72.54,49.61,189,8748,225.710592
Swin_t,25.48,133.80,28.29,107,4495,140.768768
Swin_v2_b,8.01,54.37,87.93,335,17063,388.190208
Swin_v2_s,12.57,46.06,49.74,189,9707,226.584576
Swin_v2_t,12.48,81.79,28.35,108,4945,140.617728
Vgg11,13.71,250.02,132.86,506,7609,563.451904
Vgg11_bn,13.12,238.22,132.87,506,7616,566.71232
Vgg13,10.53,200.79,133.05,507,11308,567.99232
Vgg13_bn,14.70,190.48,133.05,507,11320,568.046592
Vgg16,11.25,167.75,138.36,527,15470,589.575168
Vgg16_bn,10.31,158.51,138.37,527,15483,589.651456
Vgg19,10.98,143.13,143.67,548,19632,610.863104
Vgg19_bn,8.16,135.23,143.68,548,19646,610.961408
Wide_resnet101_2,6.51,87.90,126.89,484,22774,568.237056
Wide_resnet50_2,12.16,169.44,68.88,262,11412,328.57856
